0,1,2,3,4,5
Date,Tweet,Sentiment Score,Calculation,Possitive Word(s),Negative Word(s)
Thu Jul 30 19:21:22 +0000 2020,"@theserwah It’s good 
Depends on where the office is too",3,"[{""good"":3}]",,[]
Thu Jul 30 19:21:22 +0000 2020,RT @LisaMarieBoothe: The fact that Obama would use a funeral for political purposes underscores why his 8 years in office were so divisive.,-1,"[{""funeral"":-1}]",,"[""funeral""]"
Thu Jul 30 19:21:22 +0000 2020,RT @CREWcrew: We’re keeping a close eye on USPS: Some of Louis DeJoy’s new policies include slashing USPS post office hours and closing som…,-2,"[{""slashing"":-2}]",,"[""slashing""]"
Thu Jul 30 19:21:22 +0000 2020,RT @Suzyqmimmj: @SpeakerPelosi SAVE THE POST OFFICE!,2,"[{""save"":2}]",,[]
Thu Jul 30 19:21:22 +0000 2020,"RT @UberFacts: Adolf Hitler enjoyed being pooped on during sex, according to a report from the US Office of Strategic Services (the predece…",2,"[{""enjoyed"":2}]",,[]
Thu Jul 30 19:21:22 +0000 2020,"RT @MollyBeck: @GovEvers @Vanwanggaard ""It’s transparent and blatantly political that his order doesn’t take effect until his handpicked Su…",1,"[{""handpicked"":1}]",,[]
Thu Jul 30 19:21:21 +0000 2020,"RT @UberFacts: Adolf Hitler enjoyed being pooped on during sex, according to a report from the US Office of Strategic Services (the predece…",2,"[{""enjoyed"":2}]",,[]
Thu Jul 30 19:21:21 +0000 2020,RT @ElieNYC: I just can't believe sometimes that a majority of white people thought that Barack Obama should be succeeded by the nasty ass…,0,"[{""nasty"":-3},{""succeeded"":3}]",,"[""nasty""]"
Thu Jul 30 19:21:21 +0000 2020,RT @LisaMarieBoothe: The fact that Obama would use a funeral for political purposes underscores why his 8 years in office were so divisive.,-1,"[{""funeral"":-1}]",,"[""funeral""]"
Thu Jul 30 19:21:21 +0000 2020,@MikeLevin Republicans are trying to close the USPS in order to help cheat their way back into office (which will n… https://t.co/pXg0D0H0n8,-1,"[{""cheat"":-3},{""help"":2}]",,"[""cheat""]"
Thu Jul 30 19:21:21 +0000 2020,"Orange SemiCircles Print, Half Circles, Half Moon Wall Art, Nursery Wall Decor, Living Room Wall Art, Office Prints… https://t.co/lGpZhSXdPx",0,[],,[]
Thu Jul 30 19:21:20 +0000 2020,"if you're wondering how life has changed since i have been back in the office, i spend a lot less time tanning but… https://t.co/O7hD17JN51",0,[],,[]
Thu Jul 30 19:21:20 +0000 2020,"RT @jayrosen_nyu: This is what I want to see reporters doing today. Not ringing up election experts to ask, ""can he really do that?"" Tracki…",1,"[{""want"":1}]",,[]
Thu Jul 30 19:21:20 +0000 2020,RT @dhere: I would simply vote the shark out of office in the next election,0,[],,[]
Thu Jul 30 19:21:20 +0000 2020,RT @Guugu_lethu: guys?! 😭💔. at her fathers funeral? we can’t mourn in peace. we can’t go to the post office in peace. can’t walk down the r…,1,"[{""peace"":2},{""peace"":2},{""mourn"":-2},{""funeral"":-1}]",,"[""mourn"",""funeral""]"
Thu Jul 30 19:21:20 +0000 2020,This morning I started randomly crying because I miss my office chair. How’s your pandemic going?,-4,"[{""miss"":-2},{""crying"":-2}]",,"[""miss"",""crying""]"
Thu Jul 30 19:21:20 +0000 2020,RT @CGasparino: BREAKING: Update on banks NYC reopening-- Non essential staff still on sked to be filtered into offices in Sept; banks coul…,0,[],,[]
Thu Jul 30 19:21:20 +0000 2020,"RT @ProjectLincoln: Republicans in office, if you can’t stand up to this president now, why are you even in office?",0,[],,[]
Thu Jul 30 19:21:20 +0000 2020,RT @LisaMarieBoothe: The fact that Obama would use a funeral for political purposes underscores why his 8 years in office were so divisive.,-1,"[{""funeral"":-1}]",,"[""funeral""]"
Thu Jul 30 19:21:19 +0000 2020,RT @ElieNYC: I just can't believe sometimes that a majority of white people thought that Barack Obama should be succeeded by the nasty ass…,0,"[{""nasty"":-3},{""succeeded"":3}]",,"[""nasty""]"
Thu Jul 30 19:21:19 +0000 2020,RT @clairecmc: Any Republican who fails to denounce “delay the election” should be run out of office. Immediately.,-4,"[{""denounce"":-2},{""fails"":-2}]",,"[""denounce"",""fails""]"
Thu Jul 30 19:21:19 +0000 2020,"@bennyjohnson Is he running for office? Come on, this is a funeral, not election campaign!",-1,"[{""funeral"":-1}]",,"[""funeral""]"
Thu Jul 30 19:21:19 +0000 2020,@CREWcrew Just get the word out to drop their ballots off at the county clerk's office it is as simple as that,-1,"[{""drop"":-1}]",,"[""drop""]"
Thu Jul 30 19:21:19 +0000 2020,RT @LisaMarieBoothe: The fact that Obama would use a funeral for political purposes underscores why his 8 years in office were so divisive.,-1,"[{""funeral"":-1}]",,"[""funeral""]"
Thu Jul 30 19:21:18 +0000 2020,"RT @AdamSchiff: You can rant all you like.

Spread all the lies you want.

Stoke all the fear and division you desire.

But ...

We voted d…",-1,"[{""desire"":1},{""fear"":-2},{""want"":1},{""like"":2},{""rant"":-3}]",,"[""fear"",""rant""]"
Thu Jul 30 19:21:18 +0000 2020,"RT @XArmandKleinX: What a disgrace!This evil dem.should not be in office,supports domestic terr*rists who shot &amp;killed kids,civil people,Po…",-6,"[{""killed"":-3},{""supports"":2},{""evil"":-3},{""disgrace"":-2}]",,"[""killed"",""evil"",""disgrace""]"
Thu Jul 30 19:21:18 +0000 2020,"RT @TheRickyDavila: Holy shit, President Obama just spoke about attacks against the US post office, active attacks against our elections, v…",-5,"[{""attacks"":-1},{""active"":1},{""attacks"":-1},{""shit"":-4}]",,"[""attacks"",""attacks"",""shit""]"
Thu Jul 30 19:21:18 +0000 2020,"President Bush was a flawed person but, he's redeemed himself since leaving office &amp; asked to speak at 3 funerals.… https://t.co/h9h8wM7fgL",-2,"[{""funerals"":-1},{""redeemed"":2},{""flawed"":-3}]",,"[""funerals"",""flawed""]"
Thu Jul 30 19:21:18 +0000 2020,"RT @chipfranklin: Raise your hand if you think Donnie is terrified of losing in November, because he knows he’s going from the Oval Office…",-6,"[{""losing"":-3},{""terrified"":-3}]",,"[""losing"",""terrified""]"
Thu Jul 30 19:21:18 +0000 2020,RT @batesmothel: every day 😭 for eight years 😭 i've brought 😭 pepper spray 😭 into this office 😭 to protect myself 😭 and my fellow employees…,-5,"[{""😭"":-1},{""protect"":1},{""😭"":-1},{""😭"":-1},{""😭"":-1},{""😭"":-1},{""😭"":-1}]",,"[""😭"",""😭"",""😭"",""😭"",""😭"",""😭""]"
Thu Jul 30 19:21:18 +0000 2020,"@realDonaldTrump YES, I AGREE THE FIRST THING SHE MUST DO IS ARRESY THE ANARCHIST WHO'S SITTING IN THE OVAL OFFICE… https://t.co/9P3t02kzUI",2,"[{""agree"":1},{""yes"":1}]",,[]
Thu Jul 30 19:21:18 +0000 2020,"RT @jaarreaza: It seems that @SecPompeo is somewhat disconnected from reality, not realizing that those who should be preparing their exit…",0,[],,[]
Thu Jul 30 19:21:18 +0000 2020,RT @clairecmc: Any Republican who fails to denounce “delay the election” should be run out of office. Immediately.,-4,"[{""denounce"":-2},{""fails"":-2}]",,"[""denounce"",""fails""]"
Thu Jul 30 19:21:18 +0000 2020,"RT @savndaniel: MR MAGU’S FULL RESPONSE BELOW

RE: ALLEGED CASE OF CONSPIRACY, ENRICHMENT ABUSE OF PUBLIC OFFICE AND OTHER INFRACTIONS
The…",-6,"[{""abuse"":-3},{""conspiracy"":-3}]",,"[""abuse"",""conspiracy""]"
Thu Jul 30 19:21:18 +0000 2020,RT @dhere: I would simply vote the shark out of office in the next election https://t.co/CQP3qCvDZw,0,[],,[]
Thu Jul 30 19:21:17 +0000 2020,RT @LFC: Not a bad week at the office for the Reds 😄🏆 https://t.co/HaFXKuHu7W,-3,"[{""bad"":-3}]",,"[""bad""]"
Thu Jul 30 19:21:17 +0000 2020,RT @dhere: I would simply vote the shark out of office in the next election,0,[],,[]
Thu Jul 30 19:21:17 +0000 2020,"RT @aaronnarraph: We need to talk about former prosecutors running for office as “progressives,” because it’s legitimately impossible for t…",0,[],,[]
