0,1,2,3,4,5
Date,Tweet,Sentiment Score,Calculation,Possitive Word(s),Negative Word(s)
Mon Jul 27 23:32:11 +0000 2020,"RT @coworkitnet: What motivates you to work? Go on, share it with us!

#coworking #Stillwater #StillwaterOK #STW #STWOK #WorkIT #coworkings…",1,"[{""share"":1}]",,[]
Mon Jul 27 23:31:31 +0000 2020,"RT @coworkitnet: What motivates you to work? Go on, share it with us!

#coworking #Stillwater #StillwaterOK #STW #STWOK #WorkIT #coworkings…",1,"[{""share"":1}]",,[]
Mon Jul 27 23:17:12 +0000 2020,"RT @Space_IZ1: As the world is globally-connected, #millennials are disrupting the #realestate sector bringing a change to concepts of #liv…",-2,"[{""disrupting"":-2}]",,"[""disrupting""]"
Mon Jul 27 22:56:56 +0000 2020,"Join us for Biz Net Sparks @BizNetSparks #networking July 30, Tablespace @Tablespace, 196 Osborne St, #Winnipeg! An… https://t.co/peyPqSccBz",1,"[{""join"":1}]",,[]
Mon Jul 27 22:56:01 +0000 2020,"What motivates you to work? Go on, share it with us!

#coworking #Stillwater #StillwaterOK #STW #STWOK #WorkIT… https://t.co/2ZFeXgl0Gt",1,"[{""share"":1}]",,[]
Mon Jul 27 22:54:53 +0000 2020,"Join us for Biz Net Sparks @BizNetSparks #networking July 30, Tablespace @Tablespace, 196 Osborne St, #Winnipeg! An… https://t.co/VHe3Pvawwz",1,"[{""join"":1}]",,[]
Mon Jul 27 22:32:59 +0000 2020,"RT @Space_IZ1: #Coliving is a type of housing for people to share a living space. With sky rising rent in #metro cites, #millennials are mo…",1,"[{""share"":1}]",,[]
Mon Jul 27 22:29:45 +0000 2020,Bringing a frankly irresponsible amount of mai tai to a cowork farewell party hbu,-2,"[{""irresponsible"":-2}]",,"[""irresponsible""]"
Mon Jul 27 21:48:31 +0000 2020,"RT @Space_IZ1: #Coliving is a type of housing for people to share a living space. With sky rising rent in #metro cites, #millennials are mo…",1,"[{""share"":1}]",,[]
Mon Jul 27 21:31:57 +0000 2020,"RT @RisingTideSTP: One of our staff members is teaming up with @ScatterBrothers to make a music video! 

#music #artist #songwriter #musicv…",0,[],,[]
Mon Jul 27 21:31:42 +0000 2020,@chrisrohaut Gym and cowork stipends!,0,[],,[]
Mon Jul 27 21:28:23 +0000 2020,"One of our staff members is teaming up with @ScatterBrothers to make a music video! 

#music #artist #songwriter… https://t.co/EyXOyqldY5",0,[],,[]
Mon Jul 27 21:23:26 +0000 2020,Does anyone else check the local pollen count when they hear a cowork sneezing?,-2,"[{""sneezing"":-2}]",,"[""sneezing""]"
Mon Jul 27 21:03:23 +0000 2020,cowork with me! (dden vibes in this club tonight) https://t.co/VsB75WY4zt,0,[],,[]
Mon Jul 27 20:35:04 +0000 2020,"Register your interest in CWRK today:

https://t.co/Xso5VIHPWI

#wearecwrk #coworking #cowork #flexibility… https://t.co/Gi9HDS0uda",1,"[{""interest"":1}]",,[]
Mon Jul 27 19:34:08 +0000 2020,"RT @Space_IZ1: As the world is globally-connected, #millennials are disrupting the #realestate sector bringing a change to concepts of #liv…",-2,"[{""disrupting"":-2}]",,"[""disrupting""]"
Mon Jul 27 19:30:47 +0000 2020,"RT @Space_IZ1: #Coliving is a type of housing for people to share a living space. With sky rising rent in #metro cites, #millennials are mo…",1,"[{""share"":1}]",,[]
Mon Jul 27 19:23:35 +0000 2020,"RT @Space_IZ1: As the world is globally-connected, #millennials are disrupting the #realestate sector bringing a change to concepts of #liv…",-2,"[{""disrupting"":-2}]",,"[""disrupting""]"
Mon Jul 27 19:12:08 +0000 2020,"RT @Space_IZ1: #Coliving is a type of housing for people to share a living space. With sky rising rent in #metro cites, #millennials are mo…",1,"[{""share"":1}]",,[]
Mon Jul 27 18:52:12 +0000 2020,"RT @Space_IZ1: #Coliving is a type of housing for people to share a living space. With sky rising rent in #metro cites, #millennials are mo…",1,"[{""share"":1}]",,[]
Mon Jul 27 18:51:48 +0000 2020,"@MelissaFiffer Happy to cowork with you! I also use @focusmate for specific tasks like coding, I find that just kno… https://t.co/G9Ht8twfVe",5,"[{""like"":2},{""happy"":3}]",,[]
Mon Jul 27 18:47:00 +0000 2020,"RT @Space_IZ1: #Coliving is a type of housing for people to share a living space. With sky rising rent in #metro cites, #millennials are mo…",1,"[{""share"":1}]",,[]
Mon Jul 27 18:31:13 +0000 2020,"RT @Space_IZ1: #Coliving is a type of housing for people to share a living space. With sky rising rent in #metro cites, #millennials are mo…",1,"[{""share"":1}]",,[]
Mon Jul 27 18:29:31 +0000 2020,"RT @Space_IZ1: #Coliving is a type of housing for people to share a living space. With sky rising rent in #metro cites, #millennials are mo…",1,"[{""share"":1}]",,[]
Mon Jul 27 18:22:27 +0000 2020,Think Tank Cowork is a community that provides cowork space to individuals working independently or collaboratively… https://t.co/tBsdtNayqJ,0,[],,[]
Mon Jul 27 17:56:34 +0000 2020,"RT @Space_IZ1: #Coliving is a type of housing for people to share a living space. With sky rising rent in #metro cites, #millennials are mo…",1,"[{""share"":1}]",,[]
Mon Jul 27 17:49:27 +0000 2020,"#Coliving is a type of housing for people to share a living space. With sky rising rent in #metro cites,… https://t.co/UcpbwSCQBR",1,"[{""share"":1}]",,[]
Mon Jul 27 17:47:25 +0000 2020,"RT @Space_IZ1: As the world is globally-connected, #millennials are disrupting the #realestate sector bringing a change to concepts of #liv…",-2,"[{""disrupting"":-2}]",,"[""disrupting""]"
Mon Jul 27 17:19:07 +0000 2020,"We are restoring 11,500 sq of an old school from almost 70 years ago into a cowork space and after almost over a ye… https://t.co/1ZKbFwGANp",1,"[{""restoring"":1}]",,[]
Mon Jul 27 17:18:35 +0000 2020,RT @Space_IZ1: #Coworking places bring about #opportunities to network with a #community of #professionals. Sharing experiences and thought…,2,"[{""opportunities"":2}]",,[]
Mon Jul 27 16:54:22 +0000 2020,"RT @Space_IZ1: As the world is globally-connected, #millennials are disrupting the #realestate sector bringing a change to concepts of #liv…",-2,"[{""disrupting"":-2}]",,"[""disrupting""]"
Mon Jul 27 16:39:44 +0000 2020,"RT @Space_IZ1: As the world is globally-connected, #millennials are disrupting the #realestate sector bringing a change to concepts of #liv…",-2,"[{""disrupting"":-2}]",,"[""disrupting""]"
Mon Jul 27 16:36:54 +0000 2020,"RT @Space_IZ1: As the world is globally-connected, #millennials are disrupting the #realestate sector bringing a change to concepts of #liv…",-2,"[{""disrupting"":-2}]",,"[""disrupting""]"
Mon Jul 27 16:02:51 +0000 2020,"Look Who's BOS'n It! Joseph Xu, Senior Multimedia Producer for the University of Michigan.

https://t.co/0FggcEwhGR… https://t.co/KIWVEHHdPl",0,[],,[]
