0,1,2,3,4,5
Date,Tweet,Sentiment Score,Calculation,Possitive Word(s),Negative Word(s)
Thu Jul 30 11:46:57 +0000 2020,Great my cowork being nonsense again,1,"[{""nonsense"":-2},{""great"":3}]",,"[""nonsense""]"
Thu Jul 30 11:44:56 +0000 2020,"RT @Space_IZ1: #Coliving is a type of housing for people to share a living space. With sky rising rent in #metro cites, #millennials are mo…",1,"[{""share"":1}]",,[]
Thu Jul 30 11:01:14 +0000 2020,"This project caught my attention. Having studied the project data and white paper, we can conclude that the project… https://t.co/PoAA137375",0,[],,[]
Thu Jul 30 09:48:03 +0000 2020,A double-height wooden structure occupies Oslo Cowork as a fulcrum around which the rest of the studio is developed… https://t.co/oeYA9i9Chy,0,[],,[]
Thu Jul 30 09:45:31 +0000 2020,RT @Space_IZ1: #Coworking places bring about #opportunities to network with a #community of #professionals. Sharing experiences and thought…,2,"[{""opportunities"":2}]",,[]
Thu Jul 30 09:45:20 +0000 2020,"RT @Space_IZ1: As the world is globally-connected, #millennials are disrupting the #realestate sector bringing a change to concepts of #liv…",-2,"[{""disrupting"":-2}]",,"[""disrupting""]"
Thu Jul 30 09:45:13 +0000 2020,"RT @Space_IZ1: #Coliving is a type of housing for people to share a living space. With sky rising rent in #metro cites, #millennials are mo…",1,"[{""share"":1}]",,[]
Thu Jul 30 08:19:21 +0000 2020,"Best friends make good times better and hard times easier! - Happy Friendship Day 😊❤️
.
.
.
.
#coworkdelhi… https://t.co/HDGpLn8Txe",12,"[{""friendship"":2},{""happy"":3},{""hard"":-1},{""better"":2},{""good"":3},{""best"":3}]",,"[""hard""]"
Thu Jul 30 07:31:17 +0000 2020,"RT @Cowork_Delhi: your search for the affordable Office Space ends right here! 😄✌️

Book Coworking Office Space starting at 3,999 only.

Ca…",2,"[{""affordable"":2}]",,[]
Thu Jul 30 07:16:12 +0000 2020,"At Cowork Valley, you are family. Working here feels as comfortable as working from home.
#Coworkvalley… https://t.co/ka7r1zFgeW",2,"[{""comfortable"":2}]",,[]
Thu Jul 30 06:56:19 +0000 2020,"your search for the affordable Office Space ends right here! 😄✌️

Book Coworking Office Space starting at 3,999 onl… https://t.co/jLndyj4lmT",2,"[{""affordable"":2}]",,[]
Thu Jul 30 06:31:26 +0000 2020,"RT @SneedNow: If you have a credit card, chances are you are paying your dues using the #cred app. The app rewards you for settling your ca…",4,"[{""rewards"":2},{""chances"":2}]",,[]
Thu Jul 30 06:22:58 +0000 2020,"RT @SneedNow: If you have a credit card, chances are you are paying your dues using the #cred app. The app rewards you for settling your ca…",4,"[{""rewards"":2},{""chances"":2}]",,[]
Thu Jul 30 06:22:45 +0000 2020,"If you have a credit card, chances are you are paying your dues using the #cred app. The app rewards you for settli… https://t.co/9x1eD2b4BC",4,"[{""rewards"":2},{""chances"":2}]",,[]
Thu Jul 30 06:22:26 +0000 2020,"RT biblewords3: Jumping onto Zoom calls but make it fashion by working from K1 😁 For only 1500/- a day, enjoy our u… https://t.co/IgEqC8BYPR",4,"[{""enjoy"":2},{""😁"":2}]",,[]
Thu Jul 30 06:01:10 +0000 2020,"Jumping onto Zoom calls but make it fashion by working from K1 😁 For only 1500/- a day, enjoy our unlimited high-sp… https://t.co/z0Fs6Y8UQk",4,"[{""enjoy"":2},{""😁"":2}]",,[]
Thu Jul 30 04:39:21 +0000 2020,"Join us for Biz Net Sparks @BizNetSparks #networking July 30, Tablespace @Tablespace, 196 Osborne St, #Winnipeg! An… https://t.co/nGNAjqqJnW",1,"[{""join"":1}]",,[]
Thu Jul 30 04:33:19 +0000 2020,"Join us for Biz Net Sparks @BizNetSparks #networking July 30, Tablespace @Tablespace, 196 Osborne St, #Winnipeg! An… https://t.co/tvRH3ZqOuf",1,"[{""join"":1}]",,[]
Wed Jul 29 23:00:52 +0000 2020,"I tell myself on a regular basis 'Don't change because you have to, change because you can. Innovation starts small… https://t.co/SSDNyWltEw",1,"[{""innovation"":1}]",,[]
Wed Jul 29 21:01:29 +0000 2020,RT @Space_IZ1: #Coworking is a revolutionary concept to transform the property market and meet the ever-changing nature of today's #realest…,0,[],,[]
Wed Jul 29 19:50:11 +0000 2020,"""Remotopia"" - we learned a new word! Remote working has long been touted for reducing commute time, access to wider… https://t.co/zgC8mLMTij",-2,"[{""touted"":-2}]",,"[""touted""]"
Wed Jul 29 18:33:33 +0000 2020,Great to visit @kq_hub new venture today looking forward to new cross pollinations and hybrids #cowork/#creative sh… https://t.co/rMHoGudIF9,5,"[{""creative"":2},{""great"":3}]",,[]
Wed Jul 29 18:10:14 +0000 2020,"@hermanator_st @greystonebooks On the mend, thanks Herman. Pretty heavy crash but it was on dirt, not concrete, so… https://t.co/mShdm7H5fP",-1,"[{""dirt"":-2},{""crash"":-2},{""pretty"":1},{""thanks"":2}]",,"[""dirt"",""crash""]"
Wed Jul 29 17:16:03 +0000 2020,"RT @Space_IZ1: #Coliving is a type of housing for people to share a living space. With sky rising rent in #metro cites, #millennials are mo…",1,"[{""share"":1}]",,[]
Wed Jul 29 17:14:21 +0000 2020,"I don't know about you, but I find myself constantly looking for simple ways to uplift and inspire myself right now… https://t.co/reVU6pZ7hj",2,"[{""inspire"":2}]",,[]
Wed Jul 29 17:10:28 +0000 2020,"RT @Space_IZ1: As the world is globally-connected, #millennials are disrupting the #realestate sector bringing a change to concepts of #liv…",-2,"[{""disrupting"":-2}]",,"[""disrupting""]"
Wed Jul 29 16:53:10 +0000 2020,"RT @Space_IZ1: As the world is globally-connected, #millennials are disrupting the #realestate sector bringing a change to concepts of #liv…",-2,"[{""disrupting"":-2}]",,"[""disrupting""]"
Wed Jul 29 16:49:31 +0000 2020,The new CoWork Space will provide a perfect avenue for networking. We take pride in hosting a diverse community of… https://t.co/ICLWXtO8pv,3,"[{""perfect"":3}]",,[]
Wed Jul 29 16:32:42 +0000 2020,Today the @CoAssemblyEU launched Cowork Tools: It’s the start of something big: https://t.co/Zip8GSdLcF… https://t.co/bKPjHfAE6u,2,"[{""big"":1},{""launched"":1}]",,[]
Wed Jul 29 16:25:05 +0000 2020,"RT @Space_IZ1: As the world is globally-connected, #millennials are disrupting the #realestate sector bringing a change to concepts of #liv…",-2,"[{""disrupting"":-2}]",,"[""disrupting""]"
Wed Jul 29 15:26:45 +0000 2020,What are you currently reading? Is it motivational or self-help? How about a mystery or romance novel? Tell us in t… https://t.co/fyVLZVEilS,4,"[{""novel"":2},{""romance"":2}]",,[]
