0,1,2,3,4,5
Date,Tweet,Sentiment Score,Calculation,Possitive Word(s),Negative Word(s)
Thu Jul 30 13:02:55 +0000 2020,"RT @KACharanFans: The Best ever fight sequence in history of Indian Cinema.
Never Before and Never Again.

#11YearsForIHMagadheera @AlwaysR…",2,"[{""fight"":-1},{""best"":3}]",,"[""fight""]"
Thu Jul 30 13:02:55 +0000 2020,"RT @CharanismSadhik: That Proud Moment When Other Hero fans Agrees @AlwaysRamCharan Box Office King 😎🔥
#RamCharan 
@AlwaysRamCharan 
#11Yea…",5,"[{""agrees"":1},{""hero"":2},{""proud"":2}]",,[]
Thu Jul 30 13:02:55 +0000 2020,"RT @DrJasonJohnson: There's an excellent story in the @BostonGlobe today about a bipartisan group of experts, scholars and former military…",3,"[{""excellent"":3}]",,[]
Thu Jul 30 13:02:55 +0000 2020,RT @PawanismNetwork: #Magadheera was a game changer for Tollywood setting box office records domestically and internationally. This film wa…,0,[],,[]
Thu Jul 30 13:02:55 +0000 2020,RT @ConnieG1025: @realDonaldTrump I am happy to inform you. You will be booted out of office in November. We will no longer have Racist Twe…,-1,"[{""racist"":-3},{""no"":-1},{""happy"":3}]",,"[""racist"",""no""]"
Thu Jul 30 13:02:55 +0000 2020,"RT @RcYuvaShakthi: He never disappoint his Fans 
Even his average çontent film is enough to create Next level Big Box office numbers 
#Mega…",-1,"[{""big"":1},{""disappoint"":-2}]",,"[""disappoint""]"
Thu Jul 30 13:02:55 +0000 2020,"RT @BenjySarlin: He can’t delay the election, but it’s also within his power to immediately demand more funding for election administration…",-2,"[{""demand"":-1},{""delay"":-1}]",,"[""demand"",""delay""]"
Thu Jul 30 13:02:55 +0000 2020,Are companies being too quick to dismiss the benefits of having a office based workforce? https://t.co/oy1BF1yLZG,2,"[{""benefits"":2}]",,[]
Thu Jul 30 13:02:55 +0000 2020,RT @dhere: I would simply vote the shark out of office in the next election,0,[],,[]
Thu Jul 30 13:02:55 +0000 2020,RT @SkyNewsBreak: Analysis by the Office for National Statistics suggests England had the highest levels of excess mortality in Europe acro…,0,[],,[]
Thu Jul 30 13:02:55 +0000 2020,"@MelissaJPeltier @lukewyman1 @mmpadellan At least for the midterm, I was able to drop my ballot off at the voting o… https://t.co/BA1zEC4TBz",-1,"[{""drop"":-1}]",,"[""drop""]"
Thu Jul 30 13:02:55 +0000 2020,"RT @LegendRamCharan: Box office Legend 👌👌👌

#11YearsForIHMagadheera 
@AlwaysRamCharan https://t.co/D7qBPJzHnG",0,[],,[]
Thu Jul 30 13:02:55 +0000 2020,"RT @Raymond_Norman: '5⭐️- Think ""Office Space"" on drugs &amp; you'll get Customer Service.' 

Customer Service by @Uncensored_Ant. 

#FREE on #…",1,"[{""free"":1}]",,[]
Thu Jul 30 13:02:54 +0000 2020,"RT @PeteButtigieg: The presidency is not only an administrative office, not only a policy office: it is a moral office.

During these times…",0,[],,[]
Thu Jul 30 13:02:54 +0000 2020,RT @JusttKriSH: A telugu film #Magadheera which grossed 150cr+ at that time. Break and makes numerous records at the box office.That film s…,0,[],,[]
Thu Jul 30 13:02:54 +0000 2020,"America, he is lying so that when he loses by a landslide in Nov, he can try to claim we didn't intend to vote his… https://t.co/EYMhM3KF8W",0,[],,[]
Thu Jul 30 13:02:54 +0000 2020,"RT @ThalapathyFilms: The biggest winner of the 2014 Pongal clash at the box office, is also the TRP Champion against the same opponent ever…",4,"[{""champion"":2},{""clash"":-2},{""winner"":4}]",,"[""clash""]"
Thu Jul 30 13:02:54 +0000 2020,"@petermaer He needs to explain how not having an election, and letting an unpopular President stay in office is bet… https://t.co/Hj0LuiFGrR",0,[],,[]
Thu Jul 30 13:02:54 +0000 2020,"RT @XinqiSu: Beijing's Liaison Office supports DQ of 12 LegCo election nominees (""Joshua Wong and Dennis Kowk etc.). These elements are not…",2,"[{""supports"":2}]",,[]
Thu Jul 30 13:02:54 +0000 2020,RT @SkyNewsBreak: Analysis by the Office for National Statistics suggests England had the highest levels of excess mortality in Europe acro…,0,[],,[]
Thu Jul 30 13:02:54 +0000 2020,RT @FPWellman: I’m excited to join @ProjectLincoln as the Senior Advisor for Veterans Affairs. I hope fellow #veterans will join me as we w…,7,"[{""join"":1},{""hope"":2},{""join"":1},{""excited"":3}]",,[]
Thu Jul 30 13:02:54 +0000 2020,RT @RcYuvaShakthi: Magadheera the film which changes the face of Telugu cinema in terms of box office strategies and as well as increase th…,1,"[{""increase"":1}]",,[]
Thu Jul 30 13:02:54 +0000 2020,"RT @OnlyRamCharan_: #Magadheera Box Office Records..!!!

* ONE &amp; ONLY Hero to score INDUSTRY HIT with his 2nd movie itself.. @AlwaysRamChar…",2,"[{""hero"":2}]",,[]
